frame,x_cm,y_cm,theta,detected
1916,28.090756302520948,30.807563025210015,151.8328965807837,0
1917,28.082212885154,30.807563025210015,151.61744330586248,0
1918,28.09075630252094,30.81610644257696,151.85571994171033,0
1919,27.860084033613383,30.730672268907494,150.4232129771931,1
1920,27.86862745098033,30.747759103641386,152.16030580990977,0
1921,27.988235294117583,30.81610644257696,154.32708861492452,1
1922,28.090756302520948,30.87591036414559,156.6440957676694,1
1923,28.184733893557357,30.927170868347268,159.05725689408638,1
1924,28.270168067226827,30.96134453781506,159.75732093613647,0
1925,28.355602240896296,30.995518207282846,160.45661069087814,0
1926,28.329971988795457,30.978431372548947,160.73327188951976,0
1927,28.32142857142851,30.969887955182003,160.8575439453125,0
1928,28.32142857142851,30.969887955182003,160.8575439453125,0
1929,28.32142857142851,30.969887955182003,160.8575439453125,0
1930,28.32142857142851,30.969887955182003,160.8575439453125,0
1931,28.32142857142851,30.969887955182003,160.8575439453125,0
1932,28.32142857142851,30.969887955182003,160.8575439453125,0
1933,28.32142857142851,30.969887955182003,160.8575439453125,0
1934,28.32142857142851,30.969887955182003,160.8575439453125,0
1935,28.32142857142851,30.969887955182003,160.8575439453125,0
1936,28.32142857142851,30.969887955182003,160.8575439453125,0
1937,28.32142857142851,30.969887955182003,160.8575439453125,0
1938,28.32142857142851,30.969887955182003,160.8575439453125,0
1939,28.32142857142851,30.969887955182003,160.8575439453125,0
1940,28.32142857142851,30.969887955182003,160.8575439453125,0
1941,28.32142857142851,30.969887955182003,160.8575439453125,0
1942,28.32142857142851,30.969887955182003,160.8575439453125,0
1943,28.32142857142851,30.969887955182003,160.8575439453125,0
1944,28.32142857142851,30.969887955182003,160.8575439453125,0
1945,28.32142857142851,30.969887955182003,160.8575439453125,0
1946,28.32142857142851,30.969887955182003,160.8575439453125,0
1947,28.32142857142851,30.969887955182003,160.8575439453125,0
1948,28.32142857142851,30.969887955182003,160.8575439453125,0
1949,28.32142857142851,30.969887955182003,160.8575439453125,0
1950,28.32142857142851,30.969887955182003,160.8575439453125,0
1951,28.32142857142851,30.969887955182003,160.8575439453125,0
1952,28.32142857142851,30.969887955182003,160.8575439453125,0
1953,28.32142857142851,30.969887955182003,160.8575439453125,0
1954,28.32142857142851,30.969887955182003,160.8575439453125,0
1955,28.32142857142851,30.969887955182003,160.8575439453125,0
1956,28.32142857142851,30.969887955182003,160.8575439453125,0
1957,28.32142857142851,30.969887955182003,160.8575439453125,0
1958,28.32142857142851,30.969887955182003,160.8575439453125,0
1959,28.32142857142851,30.969887955182003,160.8575439453125,0
1960,28.32142857142851,30.969887955182003,160.8575439453125,0
1961,28.32142857142851,30.969887955182003,160.8575439453125,0
1962,28.32142857142851,30.969887955182003,160.8575439453125,0
1963,28.32142857142851,30.969887955182003,160.8575439453125,0
1964,28.32142857142851,30.969887955182003,160.8575439453125,0
1965,28.32142857142851,30.969887955182003,160.8575439453125,0
1966,28.32142857142851,30.969887955182003,160.8575439453125,0
1967,28.32142857142851,30.969887955182003,160.8575439453125,0
1968,28.32142857142851,30.969887955182003,160.8575439453125,0
1969,28.32142857142851,30.969887955182003,160.8575439453125,0
1970,28.32142857142851,30.969887955182003,160.8575439453125,0
1971,28.32142857142851,30.969887955182003,160.8575439453125,0
1972,28.32142857142851,30.969887955182003,160.8575439453125,0
1973,28.32142857142851,30.969887955182003,160.8575439453125,0
1974,28.32142857142851,30.969887955182003,160.8575439453125,0
1975,28.32142857142851,30.969887955182003,160.8575439453125,0
1976,28.32142857142851,30.969887955182003,160.8575439453125,0
1977,28.32142857142851,30.969887955182003,160.8575439453125,0
1978,28.32142857142851,30.969887955182003,160.8575439453125,0
1979,28.32142857142851,30.969887955182003,160.8575439453125,0
1980,28.32142857142851,30.969887955182003,160.8575439453125,0
1981,28.32142857142851,30.969887955182003,160.8575439453125,0
1982,28.32142857142851,30.969887955182003,160.8575439453125,0
1983,28.32142857142851,30.969887955182003,160.8575439453125,0
1984,28.32142857142851,30.969887955182003,160.8575439453125,0
1985,28.32142857142851,30.969887955182003,160.8575439453125,0
1986,28.32142857142851,30.969887955182003,160.8575439453125,0
1987,28.32142857142851,30.969887955182003,160.8575439453125,0
1988,28.32142857142851,30.969887955182003,160.8575439453125,0
1989,28.32142857142851,30.969887955182003,160.8575439453125,0
1990,28.32142857142851,30.969887955182003,160.8575439453125,0
1991,28.32142857142851,30.969887955182003,160.8575439453125,0
1992,28.32142857142851,30.969887955182003,160.8575439453125,0
1993,28.32142857142851,30.969887955182003,160.8575439453125,0
1994,28.32142857142851,30.969887955182003,160.8575439453125,0
1995,28.32142857142851,30.969887955182003,160.8575439453125,0
1996,28.32142857142851,30.969887955182003,160.8575439453125,0
1997,28.32142857142851,30.969887955182003,160.8575439453125,0
1998,28.32142857142851,30.969887955182003,160.8575439453125,0
1999,28.32142857142851,30.969887955182003,160.8575439453125,0
2000,28.32142857142851,30.969887955182003,160.8575439453125,0
2001,28.32142857142851,30.969887955182003,160.8575439453125,0
2002,28.32142857142851,30.969887955182003,160.8575439453125,0
2003,28.32142857142851,30.969887955182003,160.8575439453125,0
2004,28.32142857142851,30.969887955182003,160.8575439453125,0
2005,28.32142857142851,30.969887955182003,160.8575439453125,0
2006,28.32142857142851,30.969887955182003,160.8575439453125,0
2007,28.32142857142851,30.969887955182003,160.8575439453125,0
2008,28.32142857142851,30.969887955182003,160.8575439453125,0
2009,28.32142857142851,30.969887955182003,160.8575439453125,0
2010,28.32142857142851,30.969887955182003,160.8575439453125,0
2011,28.32142857142851,30.969887955182003,160.8575439453125,0
2012,28.32142857142851,30.969887955182003,160.8575439453125,0
2013,28.32142857142851,30.969887955182003,160.8575439453125,0
2014,28.577731092436913,30.593977591036342,159.23404525279452,1
2015,28.58627450980386,30.23515406162458,165.3672919939293,1
2016,28.842577030812258,29.859243697478924,163.60426463958765,1
2017,29.073249299719823,29.474789915966323,161.53520845434306,1
2018,29.303921568627384,29.090336134453718,159.41054358507623,0
2019,29.098879551820666,29.244117647058754,164.7868734964916,1
2020,29.141596638655393,29.380812324929906,161.37984090734943,0
